,bet,count,money,result
1214,10.414206922700004,1214.0,8626.748147417926,Win
1215,10.416289764084544,1215.0,8637.162354340626,Win
1216,10.418373022037361,1216.0,8647.578644104711,Win
1217,10.420456696641768,1217.0,8657.997017126749,Win
1218,10.419414650972104,1218.0,8647.576560430107,Lose
1219,10.418372709507008,1219.0,8637.157145779134,Lose
1220,10.417330872236057,1220.0,8626.738773069626,Lose
1221,10.416289139148834,1221.0,8616.32144219739,Lose
1222,10.415247510234918,1222.0,8605.90515305824,Lose
1223,10.417330559736966,1223.0,8616.320400568475,Win
1224,10.416288826680992,1224.0,8605.903070008737,Lose
1225,10.418372084446327,1225.0,8616.319358835417,Win
1226,10.420455758863216,1226.0,8626.737730919864,Win
1227,10.41941371328733,1227.0,8616.317275161,Lose
1228,10.421497596029987,1228.0,8626.736688874287,Win
1229,10.423581895549193,1229.0,8637.158186470317,Win
1230,10.422539537359638,1230.0,8626.734604574767,Lose
1231,10.421497283405902,1231.0,8616.312065037408,Lose
1232,10.423581582862584,1232.0,8626.733562320813,Win
1233,10.425666299179156,1233.0,8637.157143903676,Win
1234,10.427751432438992,1234.0,8647.582810202855,Win
1235,10.426708657295748,1235.0,8637.155058770417,Lose
1236,10.428793999027206,1236.0,8647.581767427713,Win
1237,10.430879757827011,1237.0,8658.01056142674,Win
1238,10.429836669851229,1238.0,8647.579681668913,Lose
1239,10.428793686184244,1239.0,8637.149844999061,Lose
1240,10.43087944492148,1240.0,8647.578638685245,Win
1241,10.432965620810464,1241.0,8658.009518130166,Win
1242,10.431922324248383,1242.0,8647.576552509356,Lose
1243,10.430879132015958,1243.0,8637.144630185107,Lose
1244,10.43296530784236,1244.0,8647.575509317123,Win
1245,10.431922011311576,1245.0,8637.14254400928,Lose
1246,10.430878819110445,1246.0,8626.710621997969,Lose
1247,10.429835731228534,1247.0,8616.279743178859,Lose
1248,10.43192169837478,1248.0,8626.709578910088,Win
1249,10.434008082714454,1249.0,8637.141500608463,Win
1250,10.436094884330997,1250.0,8647.575508691178,Win
1251,10.435051274842564,1251.0,8637.139413806846,Lose
1252,10.43400776971508,1252.0,8626.704362532004,Lose
1253,10.436094571269024,1253.0,8637.138370301718,Win
1254,10.438181790183277,1254.0,8647.574464872987,Win
1255,10.440269426541313,1255.0,8658.01264666317,Win
1256,10.44235748042662,1256.0,8668.452916089711,Win
1257,10.441313244678579,1257.0,8658.010558609285,Lose
1258,10.44026911335411,1258.0,8647.569245364606,Lose
1259,10.439225086442775,1259.0,8637.128976251252,Lose
1260,10.43818116393413,1260.0,8626.68975116481,Lose
1261,10.440268800166917,1261.0,8637.127932328744,Win
1262,10.4392247732869,1262.0,8626.687663528577,Lose
1263,10.438180850809571,1263.0,8616.24843875529,Lose
1264,10.440268486979733,1264.0,8626.6866196061,Win
1265,10.439224460131035,1265.0,8616.24635111912,Lose
1266,10.438180537685023,1266.0,8605.807126658989,Lose
1267,10.440268173792559,1267.0,8616.245307196674,Win
1268,10.442356227427316,1268.0,8626.685575370466,Win
1269,10.441311991804573,1269.0,8616.243219143038,Lose
1270,10.440267860605394,1270.0,8605.801907151234,Lose
1271,10.442355914177515,1271.0,8616.24217501184,Win
1272,10.44444438536035,1272.0,8626.684530926017,Win
1273,10.443399940921815,1273.0,8616.240086540656,Lose
1274,10.442355600927723,1274.0,8605.796686599735,Lose
1275,10.444444072047908,1275.0,8616.239042200663,Win
1276,10.443399627640703,1276.0,8605.794598128616,Lose
1277,10.44235528767794,1277.0,8595.351198500975,Lose
1278,10.441311052149171,1278.0,8584.908843213298,Lose
1279,10.440266921043957,1279.0,8574.467532161148,Lose
1280,10.439222894351852,1280.0,8564.027265240105,Lose
1281,10.441310738930722,1281.0,8574.466488134458,Win
1282,10.44026660785683,1282.0,8564.025177395528,Lose
1283,10.439222581196043,1283.0,8553.584910787671,Lose
1284,10.438178658937924,1284.0,8543.145688206476,Lose
1285,10.43713484107203,1285.0,8532.707509547537,Lose
1286,10.436091127587924,1286.0,8522.270374706466,Lose
1287,10.435047518475164,1287.0,8511.834283578879,Lose
1288,10.434004013723317,1288.0,8501.399236060404,Lose
1289,10.436090814526063,1289.0,8511.833240074127,Win
1290,10.43504720544461,1290.0,8501.397149259601,Lose
1291,10.437134214885699,1291.0,8511.832196465046,Win
1292,10.43609050146421,1292.0,8501.39506225016,Lose
1293,10.435046892414064,1293.0,8490.958971748696,Lose
1294,10.437133901792548,1294.0,8501.394018641111,Win
1295,10.436090188402368,1295.0,8490.956884739318,Lose
1296,10.438177406440047,1296.0,8501.392974927721,Win
1297,10.437133588699403,1297.0,8490.95479752128,Lose
1298,10.439221015417143,1298.0,8501.39193110998,Win
1299,10.438177093315602,1299.0,8490.952710094563,Lose
1300,10.437133275606271,1300.0,8480.514533001247,Lose
1301,10.439220702261393,1301.0,8490.951666276853,Win
1302,10.438176780191167,1302.0,8480.512445574592,Lose
1303,10.440264415547205,1303.0,8490.950622354783,Win
1304,10.442352468430315,1304.0,8501.39088677033,Win
1305,10.441308233183472,1305.0,8490.9485343019,Lose
1306,10.44339649483011,1306.0,8501.389842535084,Win
1307,10.445485174129075,1307.0,8511.833239029913,Win
1308,10.444440625611662,1308.0,8501.387753855784,Lose
1309,10.443396181549101,1309.0,8490.943313230173,Lose
1310,10.442351841930947,1310.0,8480.499917048624,Lose
1311,10.444440312299333,1311.0,8490.942268890556,Win
1312,10.443395868268103,1312.0,8480.497828578256,Lose
1313,10.442351528681277,1313.0,8470.054432709989,Lose
1314,10.444439998987013,1314.0,8480.49678423867,Win
1315,10.443395554987115,1315.0,8470.052344239684,Lose
1316,10.445484234098112,1316.0,8480.495739794671,Win
1317,10.444439685674702,1317.0,8470.050255560573,Lose
1318,10.443395241706135,1318.0,8459.605815874898,Lose
1319,10.445483920754477,1319.0,8470.049211116604,Win
1320,10.447573017538627,1320.0,8480.494695037358,Win
1321,10.449662532142135,1321.0,8490.942268054896,Win
1322,10.44861756588892,1322.0,8480.492605522753,Lose
1323,10.447572704132332,1323.0,8470.043987956864,Lose
1324,10.446527946861918,1324.0,8459.596415252732,Lose
1325,10.445483294067232,1325.0,8449.14988730587,Lose
1326,10.444438745737825,1326.0,8438.704404011803,Lose
1327,10.446527633486973,1327.0,8449.14884275754,Win
1328,10.44861693901367,1328.0,8459.595370391027,Win
1329,10.44757207731977,1329.0,8449.146753452014,Lose
1330,10.446527320112038,1330.0,8438.699181374695,Lose
1331,10.44861662557606,1331.0,8449.145708694807,Win
1332,10.450706348901175,1332.0,8459.594325320382,Win
1333,10.449661278266285,1333.0,8449.14361897148,Lose
1334,10.45175121052194,1334.0,8459.593280249746,Win
1335,10.450706035400888,1335.0,8449.141529039225,Lose
1336,10.449660964797348,1336.0,8438.690823003824,Lose
1337,10.451750896990307,1337.0,8449.140483968622,Win
1338,10.453841247169704,1338.0,8459.592234865613,Win
1339,10.452795863044987,1339.0,8449.138393618443,Lose
1340,10.451750583458683,1340.0,8438.685597755399,Lose
1341,10.453840933575375,1341.0,8449.137348338858,Win
1342,10.45593170176209,1342.0,8459.591189272433,Win
1343,10.454886108591914,1343.0,8449.13525757067,Lose
1344,10.453840619981055,1344.0,8438.680371462078,Lose
1345,10.452795235919057,1345.0,8428.226530842097,Lose
1346,10.45488579496624,1346.0,8438.679326078016,Win
1347,10.453840306386743,1347.0,8428.22444028305,Lose
1348,10.452794922356105,1348.0,8417.770599976662,Lose
1349,10.45174964286387,1349.0,8407.317805054307,Lose
1350,10.450704467899584,1350.0,8396.866055411443,Lose
1351,10.452794608793164,1351.0,8407.316759879342,Win
1352,10.454885167714922,1352.0,8417.769554488135,Win
1353,10.456976144748465,1353.0,8428.22443965585,Win
1354,10.45593044713399,1354.0,8417.767463511102,Lose
1355,10.458021633223417,1355.0,8428.223393958235,Win
1356,10.456975831060095,1356.0,8417.765372325011,Lose
1357,10.45593013347699,1357.0,8407.30839649395,Lose
1358,10.458021319503684,1358.0,8417.764326627428,Win
1359,10.456975517371735,1359.0,8407.306305307924,Lose
1360,10.459066912475208,1360.0,8417.763280825297,Win
1361,10.461158725857704,1361.0,8428.222347737772,Win
1362,10.463250957602876,1362.0,8438.683506463629,Win
1363,10.465343607794395,1363.0,8449.146757421231,Win
1364,10.467436676515954,1364.0,8459.612101029026,Win
1365,10.469530163851257,1365.0,8470.079537705542,Win
1366,10.471624069884026,1366.0,8480.549067869393,Win
1367,10.470576907477037,1367.0,8470.07744379951,Lose
1368,10.469529849786289,1368.0,8459.606866892032,Lose
1369,10.471623755756246,1369.0,8470.076396741819,Win
1370,10.473718080507398,1370.0,8480.548020497576,Win
1371,10.4758128241235,1371.0,8491.021738578083,Win
1372,10.474765242841087,1372.0,8480.54592575396,Lose
1373,10.473717766316803,1373.0,8470.07116051112,Lose
1374,10.475812509870066,1374.0,8480.544878277437,Win
1375,10.477907672372039,1375.0,8491.020690787307,Win
1376,10.480003253906514,1376.0,8501.498598459679,Win
1377,10.482099254557294,1377.0,8511.978601713585,Win
1378,10.481051044631839,1378.0,8501.496502459027,Lose
1379,10.483147254840764,1379.0,8511.977553503659,Win
1380,10.485243884291732,1380.0,8522.4607007585,Win
1381,10.484195359903303,1381.0,8511.975456874208,Lose
1382,10.483146940367313,1382.0,8501.491261514306,Lose
1383,10.485243569755387,1383.0,8511.974408454673,Win
1384,10.487340618469338,1384.0,8522.459652024429,Win
1385,10.489438086593031,1385.0,8532.946992642897,Win
1386,10.49153597421035,1386.0,8543.43643072949,Win
1387,10.493634281405193,1387.0,8553.9279667037,Win
1388,10.495733008261473,1388.0,8564.421600985106,Win
1389,10.494683434960647,1389.0,8553.925867976845,Lose
1390,10.493633966617152,1390.0,8543.431184541883,Lose
1391,10.49258460322049,1391.0,8532.937550575267,Lose
1392,10.491535344760168,1392.0,8522.444965972047,Lose
1393,10.49363365182912,1393.0,8532.936501316806,Win
1394,10.495732378559484,1394.0,8543.430134968636,Win
1395,10.494682805321629,1395.0,8532.934402590075,Lose
1396,10.496781741882693,1396.0,8543.429085395397,Win
1397,10.498881098231069,1397.0,8553.925867137279,Win
1398,10.500980874450715,1398.0,8564.42474823551,Win
1399,10.49993077636327,1399.0,8553.923767361059,Lose
1400,10.502030762518542,1400.0,8564.423698137422,Win
1401,10.50098055944229,1401.0,8553.921667374903,Lose
1402,10.499930461386345,1402.0,8543.420686815462,Lose
1403,10.498880468340207,1403.0,8532.920756354075,Lose
1404,10.497830580293373,1404.0,8522.421875885735,Lose
1405,10.499930146409431,1405.0,8532.91970646603,Win
1406,10.49888015339479,1406.0,8522.41977631962,Lose
1407,10.49783026537945,1407.0,8511.920896166226,Lose
1408,10.499929831432526,1408.0,8522.418726431606,Win
1409,10.498879838449383,1409.0,8511.918796600174,Lose
1410,10.497829950465539,1410.0,8501.419916761724,Lose
1411,10.499929516455632,1411.0,8511.91774671219,Win
1412,10.502029502358923,1412.0,8522.417676228646,Win
1413,10.504129908259394,1413.0,8532.919705731005,Win
1414,10.503079495268567,1414.0,8522.415575822746,Lose
1415,10.50518011116762,1415.0,8532.918655318015,Win
1416,10.507281147189854,1416.0,8543.423835429183,Win
1417,10.506230419075136,1417.0,8532.916554281994,Lose
1418,10.505179796033229,1418.0,8522.410323862918,Lose
1419,10.507280831992436,1419.0,8532.915503658951,Win
1420,10.506230103909237,1420.0,8522.408222826958,Lose
1421,10.50833134993002,1421.0,8532.914452930867,Win
1422,10.510433016200006,1422.0,8543.422784280798,Win
1423,10.512535102803245,1423.0,8553.933217296997,Win
1424,10.511483849292965,1424.0,8543.420682194193,Lose
1425,10.510432700908035,1425.0,8532.9091983449,Lose
1426,10.512534787448217,1426.0,8543.419631045808,Win
1427,10.511483533969473,1427.0,8532.90709625836,Lose
1428,10.510432385616076,1428.0,8522.39561272439,Lose
1429,10.512534472093199,1429.0,8532.906045110005,Win
1430,10.51148321864599,1430.0,8522.393510637912,Lose
1431,10.510432070324125,1431.0,8511.882027419266,Lose
1432,10.509381027117092,1432.0,8501.37159534894,Lose
1433,10.50833008901438,1433.0,8490.862214321824,Lose
1434,10.510431755032183,1434.0,8501.370544410838,Win
1435,10.50938071185668,1435.0,8490.860112655806,Lose
1436,10.511482587999051,1436.0,8501.369493367663,Win
1437,10.51358488451665,1437.0,8511.880975955663,Win
1438,10.515687601493553,1438.0,8522.39456084018,Win
1439,10.514636032733405,1439.0,8511.878873238686,Lose
1440,10.516738959939952,1440.0,8522.393509271418,Win
1441,10.518842307731939,1441.0,8532.910248231357,Win
1442,10.517790423501166,1442.0,8522.391405923625,Lose
1443,10.516738644458817,1443.0,8511.873615500124,Lose
1444,10.515686970594372,1444.0,8501.356876855665,Lose
1445,10.51779010798849,1445.0,8511.87256382626,Win
1446,10.516738328977691,1446.0,8501.354773718273,Lose
1447,10.515686655144794,1447.0,8490.838035389295,Lose
1448,10.517789792475822,1448.0,8501.35372204444,Win
1449,10.519893350434318,1449.0,8511.871511836915,Win
1450,10.518841361099275,1450.0,8501.35161848648,Lose
1451,10.520945129371494,1451.0,8511.87045984758,Win
1452,10.523049318397367,1452.0,8522.391404976952,Win
1453,10.521997013465528,1453.0,8511.868355658555,Lose
1454,10.524101412868221,1454.0,8522.39035267202,Win
1455,10.523049002726935,1455.0,8511.866251259153,Lose
1456,10.521996697826664,1456.0,8501.343202256427,Lose
1457,10.524101097166229,1457.0,8511.865198954254,Win
1458,10.523048687056512,1458.0,8501.341097857088,Lose
1459,10.521996382187806,1459.0,8490.818049170031,Lose
1460,10.520944182549588,1460.0,8480.296052787844,Lose
1461,10.523048371386098,1461.0,8490.816996970394,Win
